,top 3,top 3 __aporte,SPY top 3,SPY top 3 __aporte,top 5,top 5 __aporte,SPY top 5,SPY top 5 __aporte,top 10,top 10 __aporte,SPY top 10,SPY top 10 __aporte
2024-06-24,2535.6189869446935,100.0,2523.051883630109,100.0,3791.9317615340087,0.0,3767.0325931665952,0.0,6484.399629084801,100.0,6413.22599649494,100.0
2024-06-25,2543.5568859523814,0.0,2522.1559805869774,0.0,3790.713537720785,0.0,3765.694968686619,0.0,6480.756250169976,0.0,6410.948743013223,0.0
2024-06-26,2520.8025080740895,0.0,2530.75217560023,0.0,3765.493679595917,0.0,3778.529483506643,0.0,6450.215075808543,0.0,6432.799003678737,0.0
2024-06-27,2539.9642929619154,0.0,2541.745566256963,0.0,3802.6872013357597,0.0,3794.9431217603847,0.0,6500.681444147848,0.0,6460.742582329187,0.0
2024-06-28,2504.3084412917774,0.0,2525.038107760821,0.0,3761.626271551212,0.0,3769.998117215574,0.0,6445.0945739472245,0.0,6418.274685470618,0.0
2024-07-01,2591.623818065255,100.0,2623.9216027659145,100.0,3837.241228681368,100.0,3868.3311238677425,100.0,6611.005935494934,200.0,6615.436694343679,200.0
2024-07-02,2590.3766508637805,0.0,2641.1262989612715,0.0,3839.2006595628277,0.0,3893.6952436261354,0.0,6618.460197223173,0.0,6658.813210778401,0.0
2024-07-03,2631.254594233458,0.0,2650.1204115347873,0.0,3887.626868919566,0.0,3906.9548644787656,0.0,6680.220608979914,0.0,6681.489186420806,0.0
2024-07-05,2588.2132506887588,0.0,2650.047085017073,0.0,3832.428021070328,0.0,3906.8467624492,0.0,6602.628585731844,0.0,6681.3043154492625,0.0
2024-07-08,2697.410194679933,100.0,2749.34705765989,100.0,3849.61359890843,0.0,3905.8147431958446,0.0,6629.205673852036,0.0,6679.539404995813,0.0
2024-07-09,2691.742550693986,0.0,2750.7698655797126,0.0,3836.20508726903,0.0,3907.836031899464,0.0,6607.826236793064,0.0,6682.99611721398,0.0
2024-07-10,2713.9876054582696,0.0,2782.141435527948,0.0,3866.166642525033,0.0,3952.4035375112553,0.0,6658.485232190041,0.0,6759.213354714791,0.0
2024-07-11,2708.9918518300333,0.0,2753.4390837108094,0.0,3863.1428252848295,0.0,3911.6280127991467,0.0,6663.154327173647,0.0,6689.480983370661,0.0
2024-07-12,2709.753249489981,0.0,2760.7509233608216,0.0,3868.3655590660087,0.0,3922.015457710961,0.0,6678.577285517988,0.0,6707.245099737563,0.0
2024-07-15,2790.768415907547,100.0,2865.0923212563002,100.0,4055.4338161003457,200.0,4128.182993329645,200.0,6666.877479590645,0.0,6717.7925270748365,0.0
2024-07-16,2827.0556108072215,0.0,2877.8472456089958,0.0,4123.758905363914,0.0,4146.560991624274,0.0,6771.409085012588,0.0,6747.699045222346,0.0
2024-07-17,2693.7282813166717,0.0,2837.249625555364,0.0,3951.5208692422952,0.0,4088.0657021595453,0.0,6518.407340416351,0.0,6652.509655829923,0.0
2024-07-18,2670.126658192672,0.0,2805.7455444067673,0.0,3910.8543822137335,0.0,4042.6728849531914,0.0,6444.71920150898,0.0,6578.641920629124,0.0
2024-07-19,2684.5291346166277,0.0,2796.9934387070703,0.0,3923.2950717746135,0.0,4030.0623684831767,0.0,6455.667708822923,0.0,6558.120826132659,0.0
2024-07-22,2846.5546914239526,100.0,2926.446005425163,100.0,4098.549640605868,100.0,4172.499250580653,100.0,6866.097259377503,300.0,6927.178367885876,300.0
2024-07-23,2851.7261818906204,0.0,2924.3714781374274,0.0,4113.773206282098,0.0,4169.541409042713,0.0,6895.741706825187,0.0,6922.267762829589,0.0
2024-07-24,2751.926815715017,0.0,2868.4004899654683,0.0,3993.5755537474124,0.0,4089.738499380682,0.0,6718.649230947344,0.0,6789.779065694834,0.0
2024-07-25,2740.008232965789,0.0,2856.3959459932507,0.0,3990.314789513095,0.0,4072.622533244698,0.0,6690.983994729009,0.0,6761.363158766593,0.0
2024-07-26,2785.1457768761375,0.0,2885.256731159341,0.0,4052.2314850847956,0.0,4113.771969883351,0.0,6781.626227630784,0.0,6829.679405269046,0.0
2024-07-29,2885.6157807986488,100.0,2986.294086027466,100.0,4147.288325560832,100.0,4215.251020719011,100.0,6868.746556094909,100.0,6932.134923733756,100.0
2024-07-30,2859.892219370984,0.0,2980.58082883459,0.0,4151.1740766294315,0.0,4207.186572771107,0.0,6874.613201155082,0.0,6918.872643270382,0.0
2024-07-31,2964.4844971520643,0.0,3029.9794781402584,0.0,4268.579574277757,0.0,4276.914369468069,0.0,7047.740424340639,0.0,7033.542562632755,0.0
2024-08-01,2899.285937416521,0.0,2984.907291645231,0.0,4170.376235190537,0.0,4213.293515440949,0.0,6908.850576192175,0.0,6928.9157345004805,0.0
2024-08-02,2830.804101639054,0.0,2939.1939833805955,0.0,4050.1225684048413,0.0,4148.7676972288245,0.0,6721.944678012367,0.0,6822.800659570859,0.0
2024-08-05,2931.8873600959055,200.0,3021.3635316931895,200.0,4213.020240798037,300.0,4282.446190559053,300.0,6821.985219098578,300.0,6849.278840991979,300.0
2024-08-06,2980.565931680961,0.0,3038.0403863235074,0.0,4286.565306728576,0.0,4306.083773998768,0.0,6935.467137921851,0.0,6887.084429877777,0.0
2024-08-07,2943.5142560719814,0.0,3024.5744142932826,0.0,4217.825922611784,0.0,4286.997258914403,0.0,6804.290966077716,0.0,6856.557750008731,0.0
2024-08-08,3040.8527128753635,0.0,3093.9541909116783,0.0,4353.090708112913,0.0,4385.335362543655,0.0,6994.773522494245,0.0,7013.838206663618,0.0
2024-08-09,3065.653440246845,0.0,3111.1287707098977,0.0,4388.620804930602,0.0,4409.678415956404,0.0,7047.867595059685,0.0,7052.772113418278,0.0
2024-08-12,3083.696623363272,0.0,3113.307739473068,0.0,4400.963782321084,0.0,4412.766861415317,0.0,7362.384195772379,300.0,7357.711725778133,300.0
2024-08-13,3130.6893951226302,0.0,3158.015483673122,0.0,4466.658183480955,0.0,4476.135107847654,0.0,7453.246168364606,0.0,7463.369990640025,0.0
2024-08-14,3136.4992255771454,0.0,3150.4816834414846,0.0,4462.944384694505,0.0,4465.456785373719,0.0,7437.003036156689,0.0,7445.565284217599,0.0
2024-08-15,3188.053140458272,0.0,3199.760029729663,0.0,4531.693351223594,0.0,4535.303351046865,0.0,7546.520666207497,0.0,7562.025299305233,0.0
2024-08-16,3190.7840371921116,0.0,3218.765003597696,0.0,4536.339648380377,0.0,4562.2407841260365,0.0,7569.405989372186,0.0,7606.939946612345,0.0
2024-08-19,3202.950912584809,0.0,3234.1376907814833,0.0,4654.251670356959,100.0,4684.029855509967,100.0,7703.373545908143,100.0,7743.270373995028,100.0
2024-08-20,3165.0164546366377,0.0,3210.972403446654,0.0,4598.42331374272,0.0,4650.479367601832,0.0,7605.97725582789,0.0,7687.807341720257,0.0
2024-08-21,3194.601353365191,0.0,3210.0048392893727,0.0,4634.380208809432,0.0,4649.07803598483,0.0,7671.337777359396,0.0,7685.490770321529,0.0
2024-08-22,3159.2791791923396,0.0,3176.9785232614067,0.0,4587.821334179658,0.0,4601.245734121665,0.0,7590.528672528612,0.0,7606.418164603325,0.0
2024-08-23,3222.154705439289,0.0,3221.7660765128267,0.0,4683.882599235165,0.0,4666.1119385454485,0.0,7727.49871725376,0.0,7713.64988055777,0.0
2024-08-26,3184.367538838582,0.0,3193.7555258712678,0.0,4632.844025861503,0.0,4625.544013485142,0.0,7739.581410734292,100.0,7746.586172181871,100.0
2024-08-27,3199.286212600321,0.0,3204.7968648631163,0.0,4651.421593282773,0.0,4641.53528115134,0.0,7769.624142643869,0.0,7773.367396750804,0.0
2024-08-28,3163.45114330736,0.0,3182.42063837826,0.0,4604.012765090908,0.0,4609.12759696168,0.0,7679.844741283609,0.0,7719.092933577573,0.0
2024-08-29,3176.346311706347,0.0,3197.860779511335,0.0,4637.075335176726,0.0,4631.489688175903,0.0,7730.302704373835,0.0,7756.543634743996,0.0
2024-08-30,3224.121367910459,0.0,3241.353141785436,0.0,4706.405162139286,0.0,4694.480056198645,0.0,7844.2873193343075,0.0,7862.036158970991,0.0
2024-09-03,3179.524936796384,100.0,3278.378177011738,100.0,4516.0253990781075,0.0,4603.272864868948,0.0,7765.949997472745,200.0,7909.287776273013,200.0
2024-09-04,3177.42541250536,0.0,3277.172070850243,0.0,4510.586138132924,0.0,4601.5793336576035,0.0,7750.715456064031,0.0,7906.377971422892,0.0
2024-09-05,3144.91393782351,0.0,3259.882284975839,0.0,4468.146183495372,0.0,4577.3022070243405,0.0,7672.035834329975,0.0,7864.665305986761,0.0
2024-09-06,3065.443769273947,0.0,3196.1747255769615,0.0,4365.092473879424,0.0,4487.848439449792,0.0,7519.586168189826,0.0,7710.9669241640095,0.0
2024-09-09,3113.930131332405,0.0,3238.9258294034967,0.0,4627.909485344276,200.0,4747.876595312903,200.0,7812.475418307936,200.0,8014.106575741851,200.0
2024-09-10,3136.6220355799555,0.0,3267.678169565946,0.0,4663.9327006605945,0.0,4790.024075714735,0.0,7866.380091168357,0.0,8085.248778589482,0.0
2024-09-11,3212.305665114326,0.0,3306.1555518456457,0.0,4743.664735947869,0.0,4846.427300856923,0.0,7983.728746290127,0.0,8180.453750418634,0.0
2024-09-12,3266.577925466436,0.0,3337.0552841842136,0.0,4812.258613319644,0.0,4891.722600502219,0.0,8094.4633010762445,0.0,8256.909267206058,0.0
2024-09-13,3293.763567769741,0.0,3334.2053844102065,0.0,4858.892612461425,0.0,4887.5449894210515,0.0,8178.8725595655105,0.0,8249.857731690261,0.0
2024-09-16,3412.5404071811536,100.0,3435.9480915852114,100.0,4895.989791861285,0.0,4890.099589015019,0.0,8331.545609113315,100.0,8354.169729484098,100.0
2024-09-17,3406.3816461529536,0.0,3424.659920626317,0.0,4892.085214984989,0.0,4874.034072687225,0.0,8328.157020549963,0.0,8326.723652415301,0.0
2024-09-18,3414.361494670245,0.0,3416.4786819144256,0.0,4903.102189197588,0.0,4862.39039501915,0.0,8333.512167937432,0.0,8306.831775421015,0.0
2024-09-19,3479.953562958149,0.0,3477.3685358112007,0.0,5000.22915672524,0.0,4949.049867624404,0.0,8490.809244898443,0.0,8454.87946435524,0.0
2024-09-20,3516.2995411093416,0.0,3456.695907731024,0.0,5022.815487259983,0.0,4919.628232784719,0.0,8527.410049429946,0.0,8404.616003111674,0.0
2024-09-23,3537.29165628305,0.0,3465.6817779134904,0.0,5059.432954400389,0.0,4932.41707560625,0.0,8774.342878585578,200.0,8626.464262360783,200.0
2024-09-24,3553.314494802388,0.0,3490.959171655717,0.0,5089.208481357544,0.0,4968.3922910214515,0.0,8835.42924948215,0.0,8689.382483864147,0.0
2024-09-25,3525.5378641457214,0.0,3458.527634770986,0.0,5043.321688401454,0.0,4922.235177769494,0.0,8755.513662315567,0.0,8608.65681086886,0.0
2024-09-26,3537.192653098086,0.0,3491.0076107924197,0.0,5071.946366404382,0.0,4968.461230422215,0.0,8817.262541167422,0.0,8689.50305421897,0.0
2024-09-27,3529.9617928061402,0.0,3471.54927760639,0.0,5054.845242755671,0.0,4940.767800667279,0.0,8808.210593880154,0.0,8641.069116370398,0.0
2024-09-30,3651.73976843967,100.0,3587.7589595801537,100.0,5183.727734734072,100.0,5063.837694927933,100.0,8847.62117772478,0.0,8681.416802976262,0.0
2024-10-01,3652.1520200296354,0.0,3566.22240966561,0.0,5166.9630482045095,0.0,5033.44055997416,0.0,8827.844596486004,0.0,8629.304114132712,0.0
