,top 3,SPY top 3,top 5,SPY top 5,top 10,SPY top 10
2025-10-01,7701.083106214865,6677.805094032753,10841.202835159549,9425.959182041188,16867.287734753398,14926.665056653748
2025-10-02,7709.202458367916,6686.516293265884,10844.998388994765,9438.255349306011,16913.469624771253,14946.136896781416
2025-10-03,7686.732316454977,6691.5171532704,10814.352537312781,9445.314240904958,16837.328936674214,14957.315144908085
2025-10-06,7670.294393842942,6722.758584497722,10764.551650866619,9489.412631227915,16929.624941023463,15127.148027607434
2025-10-07,7614.804474331042,6699.08911505184,10696.705459564968,9456.002334024599,16825.798603298368,15073.888407535933
2025-10-08,7769.24412392223,6771.234202077005,10909.784889927498,9557.837687993178,17126.59323386921,15236.22495393682
2025-10-09,7733.668349382431,6764.758633340059,10838.523835369893,9548.697192615511,16999.535106485677,15221.654017673747
2025-10-10,7571.4809082950205,6619.206605162125,10608.182859503135,9343.245332738008,16608.153308977784,14894.141576420354
2025-10-13,7769.827174362451,6699.939271474087,10840.135019069041,9457.2023600244,16949.224730588394,15075.80137851121
2025-10-14,7821.428024655705,6712.328948330727,10917.449448357962,9474.690829167312,17072.39852396553,15103.679886041855
2025-10-15,7902.173626372173,6721.540597519259,11008.141882895856,9487.693399327374,17242.990326865827,15124.407386382956
2025-10-16,7836.9078783455925,6650.514827132181,10919.145227607289,9387.438000567701,17111.31518263763,14964.589459126468
2025-10-17,7721.823466444214,6657.809094895902,10769.830880177791,9397.73411871364,16847.78625029202,14981.002582820845
2025-10-20,7843.838007601007,6751.373296181861,10921.627214402864,9529.80331357676,17200.473796744165,15291.53513506827
2025-10-21,7786.803300986927,6758.828156223018,10865.785063320993,9540.32611342885,17062.001715005146,15308.420033776334
2025-10-22,7730.744933042541,6749.2131844327905,10793.153355870341,9526.754239084667,16905.22142365907,15286.64258606268
2025-10-23,7880.2096329964315,6784.510160026208,10983.115031109237,9576.577174391712,17192.199380437996,15366.58853465267
2025-10-24,8014.191437959164,6834.319159939872,11138.141541845369,9646.884347702899,17407.972725535703,15479.403518924559
2025-10-27,8045.970775397292,6906.834997369182,11208.153128533188,9749.243029041323,17676.23462582056,15843.64839581891
2025-10-28,7992.083620308291,6913.257543802085,11105.749144958472,9758.308681552717,17539.9273937483,15858.381130498035
2025-10-29,8004.322844519707,6912.951613006145,11077.686212058406,9757.87684936318,17529.036117072028,15857.679353205516
2025-10-30,7890.204300563821,6869.0425515673915,10966.807767138456,9695.897648860117,17356.06347387671,15756.955978303551
2025-10-31,7864.233579313054,6909.966230175154,10966.66387003345,9753.66287541344,17370.929454750385,15850.831157770248
2025-11-03,8046.15666098544,7049.612075087997,11258.423380356095,10009.62439429933,17519.644747807404,15941.77510349843
2025-11-04,7876.355511700227,6971.429971564857,11045.565556378991,9898.614954022703,17157.14135133593,15764.976508312075
2025-11-05,8035.909194099973,7016.057425025668,11227.343443872622,9961.980716856002,17414.154954884445,15865.895653782247
2025-11-06,7871.618596391187,6934.0030338168235,11011.300651623264,9845.473081094617,17043.10320256461,15680.340386772814
2025-11-07,7879.312743718458,6909.310290570265,11045.605557701809,9810.412274552316,17086.965565025082,15624.500979535622
2025-11-10,8177.7554070733695,7220.367097552388,11301.41264961625,10068.099947644225,17583.812976933274,16075.641414181388
2025-11-11,8143.870494224685,7228.542671957344,11220.929674758198,10079.49999131602,17499.945435424794,16093.843757734476
2025-11-12,8141.254571194889,7213.673396327183,11211.209593248162,10058.766232052689,17490.15485809982,16060.738357428701
2025-11-13,7893.149789526961,7091.093260056851,10906.936327941963,9887.84014936308,17022.01072025082,15787.822273168751
2025-11-14,7881.871860112005,7065.686171711844,10880.216429424712,9852.41243476352,16945.908365339285,15731.255171234116
2025-11-17,7883.0749291895545,7109.875021016621,10916.025106637499,9974.589211123957,16815.604038480906,15706.995554878404
2025-11-18,7911.386177967944,7065.237280698078,10932.83902304762,9911.966011465154,16844.15674064386,15608.382740069334
2025-11-19,7960.240040137811,7098.285874526213,10983.849494321092,9958.330560274591,16924.047810281445,15681.393041209516
2025-11-20,7767.113846824615,7014.620625690684,10728.990842845282,9840.95486999677,16509.173069098513,15496.561424947218
2025-11-21,7860.25948962145,7088.255440962586,10869.924797343809,9944.258659698153,16733.70439952618,15659.234005371098
2025-11-24,8114.713649734619,7209.4259989774455,11189.660698192258,10114.251315983702,17203.537062609987,15926.921610356509
2025-11-25,8175.609529035089,7269.366416281076,11303.463166853242,10198.342954441443,17399.748515940788,16059.34079710208
2025-11-26,8256.37264696994,7291.21780411545,11406.68725342717,10228.998713747558,17561.818488144,16107.61445178207
2025-11-28,8291.379086791536,7308.8877640081555,11459.92021503895,10253.788262197533,17641.15719930779,16146.650578390369
2025-12-01,8177.047562396774,7274.507022391631,11433.776474536635,10305.554815985764,17663.852839819694,16270.697322651291
2025-12-02,8154.028371204132,7284.090982990194,11445.244140113135,10319.13209771753,17667.498162041895,16292.133513663466
2025-12-03,8108.167942965443,7296.588396337668,11429.51289129701,10336.836772125569,17686.02865557221,16320.086147328802
2025-12-04,8181.744319491701,7277.554362920301,11504.608701834444,10309.871883075602,17770.099994351833,16277.51322855782
2025-12-05,8103.1539427275,7306.434505324241,11425.521221401019,10350.785430855703,17678.605497245164,16342.108678702169
2025-12-08,8182.987533475639,7386.095184773636,11509.002114320105,10421.971384459293,17722.353584942866,16396.616258747297
2025-12-09,8215.7524147803,7378.949127159032,11557.572219828358,10411.888112296134,17808.339875999878,16380.75250915589
2025-12-10,8276.464731322092,7436.274328906207,11643.173716474139,10492.775454967945,17976.217776663845,16508.010459600577
2025-12-11,8312.323283432266,7407.1225257169135,11700.641645665575,10451.641506508884,18062.5961537294,16443.295489350705
2025-12-12,8148.335032308124,7303.644746702738,11473.973753459799,10305.631683343277,17727.021246960634,16213.582035711415
2025-12-15,8241.609947875435,7393.723533922414,11549.925138354643,10391.632595447847,17676.512073527196,16191.557635170828
2025-12-16,8198.507684683454,7362.875638257032,11491.419143486595,10348.27690374168,17590.569324767774,16124.003651268375
2025-12-17,7992.634336161433,7285.024823573849,11234.791939283215,10238.860172140578,17256.065424603436,15953.517705032426
2025-12-18,8109.073234222685,7344.521048595353,11397.497470703178,10322.480138237901,17501.804547813193,16083.808829942764
2025-12-19,8222.132583606215,7421.616951914355,11560.90344336902,10430.835867016445,17789.504505359688,16252.641591446214
2025-12-22,8303.983920158973,7479.061315779178,11681.829168648199,10511.572010479707,17981.477277181326,16378.43933382401
2025-12-23,8280.494468781964,7476.298553928633,11633.045330749725,10507.689040556927,17882.922329555688,16372.389145778689
